timestamp,close,raw_signal,processed_signal,regime_probability,target_normalized_position,current_contracts_before,target_contracts,delta_contracts,trade_allowed,dry_run
2026-06-30T13:20:00,2007.7,0.012607972137629986,0.0,0.46701356768608093,0.0,1,0,-1,True,True
2026-06-30T13:25:00,2007.4,-0.0665823221206665,0.0,0.49601638317108154,0.0,0,0,0,True,True
2026-06-30T13:30:00,2007.5,-0.1640401929616928,-0.20552612169776394,0.506600558757782,0.0,0,0,0,True,True
2026-06-30T13:35:00,2007.2,-0.2428206503391266,-0.27215910495285467,0.5330258011817932,0.0,0,0,0,True,True
2026-06-30T13:40:00,2006.6,-0.29611194133758545,-0.31269266919234273,0.5525524616241455,0.0,0,0,0,True,True
2026-06-30T13:45:00,2006.7,-0.3668399155139923,-0.3663912167056257,0.5567547082901001,-0.3663912167056257,0,-2,-2,True,True
2026-06-30T13:50:00,2007.0,-0.4407880902290344,-0.41972270536977,0.5603200197219849,-0.41972270536977,-2,-2,0,True,True
2026-06-30T13:55:00,2006.9,-0.4620209038257599,-0.43335813104020415,0.5667378902435303,-0.43335813104020415,-2,-2,0,True,True
2026-06-30T14:00:00,2005.5,-0.43605688214302063,-0.40948809904010336,0.5922391414642334,-0.40948809904010336,-2,-2,0,True,True
2026-06-30T14:05:00,2003.8,-0.38138702511787415,-0.35842654956268905,0.6536427140235901,-0.35842654956268905,-2,-2,0,True,True
2026-06-30T14:10:00,2003.5,-0.4432220757007599,-0.3996548448950107,0.6606725454330444,-0.3996548448950107,-2,-2,0,True,True
2026-06-30T14:15:00,2000.0,-0.25044721364974976,-0.25640520285587787,0.6893700957298279,-0.25640520285587787,-2,-1,1,True,True
2026-06-30T14:20:00,1998.3,0.1823704093694687,0.22012060328618377,0.5280998349189758,0.0,-1,0,1,False,True
2026-06-30T14:25:00,1998.2,0.4226425886154175,0.43755542816275833,0.41314083337783813,0.0,0,0,0,False,True
2026-07-01T09:35:00,2007.0,0.9150822758674622,0.8957178056036108,0.1065954715013504,0.8957178056036108,0,4,4,True,True
2026-07-01T09:40:00,2007.9,0.911458432674408,0.8965404008109513,0.09725753962993622,0.8965404008109513,4,4,0,True,True
2026-07-01T09:45:00,2008.8,0.9041048884391785,0.8919593163311168,0.0949675440788269,0.8919593163311168,4,4,0,True,True
2026-07-01T09:50:00,2009.8,0.8970678448677063,0.8863113953348529,0.09614994376897812,0.8863113953348529,4,4,0,True,True
2026-07-01T09:55:00,2008.8,0.8935604095458984,0.8843551827065899,0.0943978950381279,0.8843551827065899,4,4,0,True,True
